,Year,Grade
Brown,1991,3.38
Brown,1994,3.44
Brown,1997,3.48
Brown,1998,3.48
Brown,1999,3.52
Brown,2000,3.53
Brown,2001,3.54
Brown,2002,3.55
Brown,2003,3.56
Brown,2004,3.56
Brown,2005,3.59
Brown,2006,3.59
Brown,2007,3.61
Columbia,1982,3.2
Columbia,2000,3.36
Columbia,2005,3.42
Columbia,2006,3.4
Cornell?,1990,3.13
Cornell?,1991,3.13
Cornell?,1992,3.18
Cornell?,1993,3.17
Cornell?,1994,3.17
Cornell?,1995,3.18
Cornell?,1996,3.18
Cornell?,1997,3.2
Cornell?,1998,3.21
Cornell?,1999,3.22
Cornell?,2000,3.25
Cornell?,2001,3.27
Cornell?,2002,3.29
Cornell?,2003,3.31
Cornell?,2004,3.32
Cornell?,2006,3.36
Dartmouth?,1931,2.33
Dartmouth?,1932,2.35
Dartmouth?,1936,2.33
Dartmouth?,1937,2.3
Dartmouth?,1940,2.35
Dartmouth?,1941,2.33
Dartmouth?,1946,2.41
Dartmouth?,1947,2.42
Dartmouth?,1949,2.48
Dartmouth?,1950,2.48
Dartmouth?,1951,2.45
Dartmouth?,1955,2.42
Dartmouth?,1956,2.42
Dartmouth?,1957,2.42
Dartmouth?,1958,2.46
Dartmouth?,1959,2.48
Dartmouth?,1960,2.47
Dartmouth?,1961,2.5
Dartmouth?,1962,2.53
Dartmouth?,1963,2.58
Dartmouth?,1964,2.63
Dartmouth?,1965,2.66
Dartmouth?,1966,2.68
Dartmouth?,1968,2.8
Dartmouth?,1976,3.06
Dartmouth?,1989,3.21
Dartmouth?,1992,3.23
Dartmouth?,1993,3.25
Dartmouth?,1999,3.31
Dartmouth?,2001,3.33
Dartmouth?,2003,3.35
Dartmouth?,2004,3.38
Dartmouth?,2006,3.39
Dartmouth?,2007,3.42
Harvard,1950,2.55
Harvard,1963,2.7
Harvard,1966,2.8
Harvard,1967,3
Harvard,1975,3.05
Harvard,1985,3.17
Harvard,1986,3.21
Harvard,1987,3.23
Harvard,1988,3.24
Harvard,1989,3.28
Harvard,1990,3.3
Harvard,1991,3.3
Harvard,1992,3.31
Harvard,1993,3.31
Harvard,1994,3.33
Harvard,1995,3.36
Harvard,1996,3.38
Harvard,1997,3.38
Harvard,1998,3.4
Harvard,1999,3.42
Harvard,2000,3.41
Harvard,2001,3.39
Harvard,2002,3.41
Harvard,2003,3.42
Harvard,2004,3.43
Harvard,2005,3.45
U. Pen,1992,3.16
U. Pen,1993,3.17
U. Pen,1994,3.17
U. Pen,1995,3.19
U. Pen,1996,3.23
U. Pen,1997,3.24
U. Pen,1998,3.28
U. Pen,1999,3.31
U. Pen,2000,3.32
U. Pen,2001,3.32
U. Pen,2004,3.44
Princeton,1969,2.83
Princeton,1971,2.99
Princeton,1972,3.01
Princeton,1973,3.03
Princeton,1974,3.08
Princeton,1975,3.09
Princeton,1976,3.1
Princeton,1977,3.12
Princeton,1978,3.13
Princeton,1979,3.15
Princeton,1980,3.13
Princeton,1981,3.13
Princeton,1982,3.14
Princeton,1983,3.16
Princeton,1984,3.15
Princeton,1985,3.17
Princeton,1986,3.16
Princeton,1987,3.2
Princeton,1988,3.19
Princeton,1989,3.21
Princeton,1990,3.22
Princeton,1991,3.24
Princeton,1992,3.25
Princeton,1993,3.27
Princeton,1994,3.3
Princeton,1995,3.31
Princeton,1996,3.31
Princeton,1997,3.34
Princeton,1998,3.32
Princeton,1999,3.34
Princeton,2000,3.36
Princeton,2001,3.38
Princeton,2002,3.37
Princeton,2003,3.37
Princeton,2004,3.35
Princeton,2005,3.3
Princeton,2006,3.27
Princeton,2007,3.28
Princeton,2008,3.28
Yale?,1963,2.56
Yale?,1967,2.77
Yale?,1975,3.27
Yale?,1977,3.31
Yale?,1981,3.27
Yale?,2006,3.48
Yale?,2008,3.51
